"beta","m","udr_values"
40,14,0.150855183656151
36,0,0.151202457176483
46,12,0.151368568666741
32,12,0.151790650561166
44,20,0.152154785468805
42,14,0.152502426409217
42,5,0.153486531388995
32,25,0.153944982101388
42,0,0.154564754750509
42,45,0.154708527707813
48,12,0.157634318148064
42,10,0.158067002221113
44,10,0.159910272189265
34,12,0.165448057443423
36,12,0.165579342437894
44,0,0.167464142706523
44,12,0.167894317515416
46,20,0.169916012083254
38,12,0.171509557807627
38,14,0.171516596459875
46,14,0.172962937746013
50,35,0.174667104727119
50,12,0.175408848663459
46,10,0.178073772676394
