"file_name","V1","V3","V4","V7","V13","V18"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",0.2776062,-0.71136314,0.764323,-0.58742523,-0.97238314,0.4981372
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",1.0149944,0.16099387,0.58646715,-3.7733767,0.06323755,0.21641915
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-0.96511537,0.4003186,0.17354578,0.28812033,0.60168195,0.2881334
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-1.2285992,-1.9035379,-1.2068169,-0.4063664,0.4214628,0.7057406
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",0.024700794,-1.4313627,-0.7222342,-0.90097624,-0.6254854,0.67621505
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-1.0380108,-0.9265254,-0.8391962,-0.93442136,0.34258226,0.1711038
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",0.55867285,-0.98579794,-2.0668995,-1.3590969,-0.11224651,1.0600162
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-0.8923588,-1.4052596,-1.4112201,-1.7351373,-0.0009094365,0.72747815
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-0.45356,-0.25018635,-0.05455674,-0.56173855,0.70564854,1.1796896
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-0.45356,-0.25018635,-0.05455674,-0.56173855,0.70564854,1.1796896
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-0.45356,-0.25018635,-0.05455674,-0.56173855,0.70564854,1.1796896
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-0.45356,-0.2501863,-0.054556765,-0.5617385,0.7056484,1.1796898
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-0.45356,-0.25018635,-0.05455674,-0.56173855,0.70564854,1.1796896
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-0.47167778,-2.3782995,0.12124953,-2.1225362,-0.17731571,0.97309375
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",-0.63226545,-1.1356516,1.7741152,-0.19104493,-0.007640019,-1.2951677
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",0.8623835,1.4354812,0.09087377,-0.103863426,-0.346854,-1.4394851
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",-0.23820463,-1.018887,-1.2088932,0.9316719,-0.93025374,-1.943444
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",-0.46369419,-1.360617,0.2908531,2.143571,-0.38815203,-2.1263392
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",-1.125587,-0.5262222,-0.986096,1.5117997,-0.58293664,-2.4867902
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",-0.30598244,-0.5232926,-0.74639106,2.1186485,-0.2881191,-2.2335773
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",0.3173592,0.2639615,-0.893407,1.7513245,-0.17723411,-2.1171713
